id,name,tw97x,tw97y,wgs84x,wgs84y,area,type,type2,payex_major,serviceTime,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area
KD48,內湖成功停車場(小型車),309560.19430,2772837.9091,121.59034802811200,25.06256970660750,內湖區,2.0,,30.0,24小時,432.0,0.0,0.0,0.0,,,,,,,,,,
KD50,內湖站停車場,308197.54500,2774199.2583,121.5768998489540,25.074912829356600,內湖區,2.0,,80.0,24小時,17.0,0.0,0.0,0.0,,,,,,,,,,
KD51,瑞光停車場,308640.09640,2773807.1704,121.58126987939700,25.071356013563200,內湖區,2.0,,40.0,24小時,111.0,0.0,0.0,0.0,,,,,,,,,,
KD53,便利停車場西湖二站,307241.35360,2774964.5408,121.56745354274800,25.08185821386460,內湖區,2.0,,0.0,24小時,48.0,0.0,0.0,0.0,,,,,,,,,,
KD56,大潤發流通事業股份有限公司內湖分公司,308289.42010,2772620.4928,121.57774368985400,25.060656445942,內湖區,2.0,,40.0,8:30-23:30,442.0,193.0,0.0,0.0,,,,,,,,,,
KD58,合發堤頂停車場,307822.22180,2772865.1361,121.57312344687,25.062882993220800,內湖區,2.0,,30.0,,27.0,0.0,0.0,0.0,,,,,,,,,,
KD60,西湖市場暨捷運站地下停車場,307155.70030,2775049.9332,121.56660801324200,25.082632366884400,內湖區,2.0,,60.0,24小時,204.0,0.0,0.0,0.0,,,,,,,,,,
KD63,嘟嘟房內湖堤頂2站停車場,307033.63080,2774622.3903,121.56538020587400,25.078777191863400,內湖區,2.0,,50.0,24小時,58.0,176.0,0.0,0.0,,,,,,,,,,
KD64,應安168民權二停車場,309749.44979,2773337.35854,121.59224548751900,25.067071176595300,內湖區,2.0,,60.0,24小時,23.0,0.0,0.0,0.0,,,,,,,,,,
KD66,應安168新湖一停車場,308422.13020,2773039.2331,121.57907678056200,25.06443164464900,內湖區,2.0,,60.0,24小時,49.0,0.0,0.0,0.0,,,,,,,,,,
KD67,耶魯大樓停車場,307626.98360,2774789.9305,121.57126896226300,25.08026719510560,內湖區,2.0,,50.0,24小時,97.0,0.0,0.0,0.0,,,,,,,,,,
KD72,內湖站,306822.87770,2775059.3799,121.56330912221700,25.082730210339400,內湖區,2.0,,0.0,24小時,8.0,0.0,0.0,0.0,,,,,,,,,,
KD73,應安168瑞光停車場,307757.85890,2774265.8417,121.57254430209200,25.075530808367900,內湖區,2.0,,60.0,24小時,31.0,0.0,0.0,0.0,,,,,,,,,,
KD75,民權停車場,309859.00890,2773501.997,121.59333856809200,25.06855316628260,內湖區,2.0,,100.0,24小時,33.0,0.0,0.0,26.0,,,,,,,,,,
KD78,Times北安路2,305495.85800,2774885.883,121.55014730065300,25.08121325406910,中山區,2.0,,0.0,24小時,15.0,0.0,0.0,0.0,,,,,,,,,,
KD79,Times北安路3,305493.59100,2774854.462,121.55012356025000,25.080929672789500,中山區,2.0,,100.0,24小時,21.0,0.0,0.0,0.0,,,,,,,,,,
KD80,TIMES新湖三路,308589.68200,2773129.332,121.58074131182900,25.065238556918400,內湖區,2.0,,100.0,24小時,39.0,0.0,0.0,0.0,,,,,,,,,,
KD81,應安洲子停車場,307839.08080,2774696.2079,121.57336750445100,25.079412975510000,內湖區,2.0,,40.0,24小時,47.0,0.0,0.0,0.0,,,,,,,,,,
KD82,聯永物業股份有限公司內湖七站,307827.01520,2774248.8783,121.57322909723100,25.075375019795100,內湖區,2.0,,50.0,24小時,16.0,0.0,0.0,0.0,,,,,,,,,,
KD85,嘟嘟房內湖瑞光站停車場,307241.84220,2774785.05608,121.56745091632900,25.080237836108400,內湖區,2.0,,60.0,24小時,169.0,0.0,0.0,0.0,,,,,,,,,,
KD87,陽光街停車場,308186.49700,2773961.0187,121.57678026195100,25.07276246750220,內湖區,2.0,,60.0,24小時,49.0,0.0,0.0,0.0,,,,,,,,,,
KD88,天成車業服務股份有限公司基湖停車場,306821.05760,2774996.356,121.56328847560900,25.082161308871600,內湖區,2.0,,0.0,24小時,50.0,0.0,0.0,0.0,,,,,,,,,,
KD89,嘟嘟房內湖瑞湖站停車場,308163.00320,2774184.5663,121.57655683605600,25.074781522759900,內湖區,2.0,,60.0,24小時,120.0,0.0,0.0,0.0,,,,,,,,,,
KD94,金矽谷18-1停車場,308561.97650,2772700.9057,121.58044848150900,25.06137186646970,內湖區,2.0,,20.0,,24.0,0.0,0.0,0.0,,,,,,,,,,
KD95,金矽谷18-2停車場,308584.46660,2772711.754,121.58067184909300,25.06146893172810,內湖區,2.0,,20.0,,49.0,0.0,0.0,0.0,,,,,,,,,,
KD96,天成車業服務股份有限公司瑞二停車場,308129.29840,2773770.2027,121.57620523632400,25.07104201365350,內湖區,2.0,,60.0,24小時,49.0,0.0,0.0,0.0,,,,,,,,,,
KD97,龍昌大樓機電管理顧問股份有限公司內湖,307970.63637,2774085.35028,121.5746458422580,25.073893210976000,內湖區,2.0,,40.0,24小時,140.0,0.0,0.0,0.0,,,,,,,,,,
KD99,嘟嘟房康東站停車場,311779.63310,2773561.6527,121.61237814367100,25.06901442259730,內湖區,2.0,,0.0,24小時,18.0,0.0,0.0,0.0,,,,,,,,,,
KE1,天成舊宗停車場(松山、內湖保管場),308507.01990,2772689.2045,121.5799032932290,25.06126835800700,內湖區,2.0,,60.0,24小時,33.0,11.0,0.0,0.0,,,,,,,,,,
KE10,宏達經營管理顧問有限公司內湖停車場,307535.38130,2774871.9949,121.5703643569070,25.08101155143080,內湖區,2.0,,50.0,24小時,50.0,0.0,0.0,0.0,,,,,,,,,,
KE11,台灣聯通石潭停車場,309454.60750,2772975.9244,121.5893074781780,25.063819841684800,內湖區,2.0,,50.0,24小時,59.0,44.0,0.0,0.0,,,,,,,,,,
KE12,博客停車場行愛站,308708.09750,2773180.4489,121.58191717938800,25.06569543658720,內湖區,2.0,,40.0,24小時,30.0,0.0,0.0,0.0,,,,,,,,,,
KE13,便利停車場momo站,307606.98910,2774734.6013,121.57106844288000,25.079768455000900,內湖區,2.0,,40.0,24小時,195.0,187.0,0.0,0.0,,,,,,,,,,
KE14,北北角薪傳中心停車場,308237.26670,2772592.1227,121.57722558496000,25.06040233513520,內湖區,2.0,,20.0,08-22時,191.0,0.0,0.0,0.0,,,,,,,,,,
KE15,in base停車場,308227.17590,2772758.5061,121.57713260913000,25.06190480795970,內湖區,2.0,,30.0,週日~四:11:00~21:30；週日五~六:11:00~22:00,93.0,0.0,0.0,0.0,,,,,,,,,,
KE16,北臺灣開發實業有限公司內湖營業所停車,308584.23320,2772956.7398,121.58067996052600,25.06368063361130,內湖區,2.0,,30.0,24小時,15.0,0.0,0.0,0.0,,,,,,,,,,
KE19,大直之星停車場,307013.47437,2775439.65837,121.56521428119600,25.086156119255900,內湖區,2.0,,30.0,12:00-20:00,41.0,0.0,0.0,0.0,,,,,,,,,,
KE2,德明室內停車場,306876.36778,2775515.50911,121.56385823766400,25.08684605843240,內湖區,2.0,,0.0,24小時,37.0,1.0,0.0,0.0,,,,,,,,,,
KE20,宏達經營管理顧問有限公司西湖停車場,306819.40930,2775162.70753,121.56327900892100,25.083663166503700,內湖區,2.0,,40.0,24小時,41.0,0.0,0.0,0.0,,,,,,,,,,
KE21,萬國科技大樓停車場,307457.49900,2774865.557,121.5695920490390,25.080956396197000,內湖區,2.0,,40.0,24小時,111.0,0.0,0.0,0.0,,,,,,,,,,
KE22,廣朋建設行愛路平面停車場,308707.48675,2773189.0715400000,121.58191149360200,25.065773304084800,內湖區,2.0,,50.0,24小時,31.0,0.0,0.0,0.0,,,,,,,,,,
KE23,便利停車場中醫站,309580.51630,2775000.1636,121.5906430696300,25.082089335054300,內湖區,2.0,,60.0,24小時,17.0,0.0,0.0,0.0,,,,,,,,,,
KE24,長揚停車場民善站,308137.54864,2772503.3169300000,121.57623350748400,25.0596044482834,內湖區,2.0,,30.0,24小時,49.0,0.0,0.0,0.0,,,,,,,,,,
KE25,璞初停車股份有限公司-蒔璞案,312163.14931,2773848.36634,121.61619244867400,25.071587079524200,萬華區,2.0,,0.0,24小時,31.0,15.0,0.0,0.0,,,,,,,,,,
KE26,宏達經營管理顧問公司洲子停車場,307759.22380,2774677.85126,121.57257513042100,25.079250310857400,內湖區,2.0,,0.0,24小時,45.0,0.0,0.0,0.0,,,,,,,,,,
KE4,大湖活動中心暨溫水游泳池停車場,310559.86710,2775673.1675,121.60038094802500,25.08812611133120,內湖區,2.0,,0.0,24小時,27.0,0.0,0.0,0.0,,,,,,,,,,
KE6,TIMES安興街,308573.39350,2772245.4356,121.58054226438000,25.057259510592200,內湖區,2.0,,0.0,24小時,29.0,0.0,0.0,0.0,,,,,,,,,,
KE7,晟晁環山停車場,307674.39770,2775403.09222,121.57176468465800,25.085800905152300,內湖區,2.0,,60.0,24小時,30.0,0.0,0.0,0.0,,,,,,,,,,
KE8,大潤發流通事業股份有限公司南湖分公司,308160.43221,2772862.2952,121.576475473975,25.062844369774500,內湖區,2.0,,30.0,08-24時；端午，中元，中秋，除夕等假日前15日為24小時(含節日),84.0,371.0,0.0,0.0,,,,,,,,,,
KE9,財團法人台北市私立仁愛頤養園附設停車,308766.80380,2774314.7808,121.58254749533700,25.075933708159100,內湖區,2.0,,0.0,0700~2200,10.0,0.0,0.0,0.0,,,,,,,,,,
KF01,便利停車場瑞光站,308711.30797,2773737.1150600000,121.58197274642300,25.07072080046060,內湖區,2.0,,50.0,24小時,96.0,0.0,0.0,0.0,,,,,,,,,,
KF05,首泰堤頂停車場,306744.18495,2774898.35146,121.5625223936940,25.08127942939740,內湖區,2.0,,90.0,24小時,17.0,0.0,0.0,0.0,,,,,,,,,,
KK01,應安168新湖三停車場,308339.95152,2772937.01907,121.57825793136000,25.063512046811,內湖區,2.0,,60.0,24小時,50.0,0.0,0.0,0.0,,,,,,,,,,
KK02,長揚停車場瑞光站,308577.43820,2773616.53627,121.58064069082300,25.069637431342000,內湖區,2.0,,40.0,24小時,242.0,0.0,0.0,0.0,,,,,,,,,,
KK03,博客停車場開發股份有限公司內湖場,306816.78278,2775355.55612,121.5632609398880,25.085404271886500,內湖區,2.0,,60.0,24小時,95.0,0.0,0.0,0.0,,,,,,,,,,
KK04,彩虹河濱公園堤外停車場,307756.35349,2772509.28711,121.57245567056500,25.059672958310900,內湖區,2.0,,30.0,星期一至星期六上午9時至下午5,453.0,0.0,0.0,0.0,,,,,,,,,,
KK05,星雲街210巷口臨時平面停車場,310249.06809,2774889.0936,121.59726551552300,25.081060093979600,內湖區,2.0,,30.0,星期一至星期六09-17時,30.0,0.0,0.0,0.0,,,,,,,,,,
KK06,瑞光路平面臨時停車場,307979.73240,2774443.44187,121.57475109582300,25.07712565358650,內湖區,2.0,,30.0,星期一至星期六07-19,314.0,62.0,0.0,0.0,,,,,,,,,,
KK07,宏達經營管理顧問有限公司倫敦停車場,306800.19521,2774839.39949,121.5630751847460,25.080745114526800,內湖區,2.0,,40.0,24小時,133.0,0.0,0.0,0.0,,,,,,,,,,
KK09,民權四二分公司停車場,308676.52486,2773394.94729,121.58161338655600,25.067633118704500,內湖區,2.0,,80.0,24小時,120.0,155.0,0.0,0.0,,,,,,,,,,
KK10,台灣聯通山仔頂停車場,309857.66881,2773148.13531,121.5933098967650,25.06535862145140,內湖區,2.0,,50.0,24小時,72.0,0.0,0.0,0.0,,,,,,,,,,
KK11,統順交通有限公司停車場,309013.66103,2772811.0981,121.58492998074800,25.062349098534500,內湖區,2.0,,40.0,24小時,15.0,0.0,0.0,14.0,,,,,,,,,,
KK12,叭叭房西湖四停車場,307249.62649,2774976.2626100000,121.56753603955500,25.081963722873300,內湖區,2.0,,80.0,24小時,46.0,0.0,0.0,0.0,,,,,,,,,,
KK13,叭叭房西湖三停車場,307278.37959,2774974.02611,121.56782097513500,25.08194244182720,內湖區,2.0,,80.0,24小時,25.0,0.0,0.0,0.0,,,,,,,,,,
KK15,行善路平面停車場,309149.90496,2773130.33242,121.5862940600730,25.065225766366000,內湖區,2.0,,60.0,24小時,49.0,0.0,0.0,0.0,,,,,,,,,,
KK16,福安停車場,310344.89618,2773263.20093,121.59814413748000,25.06637803593670,內湖區,2.0,,30.0,24小時,16.0,0.0,0.0,0.0,,,,,,,,,,
KK17,國泰潭美停車場,309048.71597,2772908.09715,121.58528158334400,25.063223420738200,內湖區,2.0,,30.0,24小時,98.0,0.0,0.0,0.0,,,,,,,,,,
KK18,長揚停車場康樂站,312826.82638,2774301.77201,121.62279154778600,25.07565286424260,內湖區,2.0,,0.0,24小時,84.0,0.0,0.0,0.0,,,,,,,,,,
KK19,停車棧東湖站,311785.85082,2773600.67882,121.61244152481100,25.069366487620800,內湖區,2.0,,50.0,24小時,18.0,0.0,0.0,0.0,,,,,,,,,,
KK29,Times民善街,308074.39129,2772460.912,121.57560575646100,25.05922405042380,內湖區,2.0,,100.0,24小時,88.0,0.0,0.0,0.0,,,,,,,,,,
KZ20,凱旋科技大樓停車場,308217.39417,2774183.08696,121.57709591739400,25.074766072404600,內湖區,2.0,,40.0,24小時,36.0,0.0,0.0,0.0,,,,,,,,,,
L00026,南港59號公園臨時停車場,311902.86473,2771186.7604900000,121.61349283999400,25.047569346520700,南港區,2.0,,20.0,24小時,23.0,0.0,0.0,0.0,,,,,,,,,,
