id,Unnamed: 0,wgs84x,wgs84y,delta,delta+,delta-
88,75,121.56674886765181,25.030915461015983,9,9.0,0.0
89,76,121.58069990389411,25.04224253348152,21,21.0,0.0
90,77,121.491268681117,25.02862997075016,-13,0.0,13.0
91,78,121.50005206628359,25.036264020806648,32,32.0,0.0
92,79,121.56163065857805,25.079499401386727,74,74.0,0.0
93,80,121.51838593842415,25.05398599047973,8,8.0,0.0
94,81,121.52456777018541,25.08228764421285,53,53.0,0.0
95,82,121.49814719627571,25.132834907815838,10,10.0,0.0
96,83,121.51278040820694,25.11440136919143,-42,0.0,42.0
97,84,121.50828358013872,25.080663196584663,-1,0.0,1.0
98,85,121.57794698533894,25.08052580730791,-44,0.0,44.0
99,86,121.53025562261276,25.04957251678417,93,93.0,0.0
100,87,121.50194291036804,25.13654398118997,-25,0.0,25.0
101,88,121.58393047286131,25.0006973053027,0,0.0,0.0
102,89,121.52199445348845,25.08978466156968,-27,0.0,27.0
103,90,121.61109705249443,25.05712848030788,128,128.0,0.0
105,91,121.59282165200943,25.053558672758736,19,19.0,0.0
106,92,121.51626989662572,25.05655896022047,-76,0.0,76.0
107,93,121.56322742598948,25.03137022943796,20,20.0,0.0
109,94,121.59041815232105,25.067711149423733,-26,0.0,26.0
110,95,121.57018171047336,25.082431409840627,-10,0.0,10.0
111,96,121.52895666386179,25.109768700186404,-22,0.0,22.0
112,97,121.52147277767956,25.05485858193854,17,17.0,0.0
113,98,121.55130761169737,25.000192255754207,-56,0.0,56.0
114,99,121.5402728472705,24.98869054885972,-16,0.0,16.0
115,100,121.57852264269238,24.997713256010428,104,104.0,0.0
116,101,121.53403402582994,25.019146965619306,11,11.0,0.0
119,102,121.51664380948068,25.074128263332824,0,0.0,0.0
120,103,121.61541475023873,25.057915856307588,199,199.0,0.0
124,104,121.50256971711063,25.090978700130282,-64,0.0,64.0
126,105,121.55114217091484,25.04912480601212,26,26.0,0.0
127,106,121.5193700693133,25.03835908675524,15,15.0,0.0
128,107,121.57658546115688,24.989423867392958,-6,0.0,6.0
129,108,121.56375880087877,25.08472396229411,-2,0.0,2.0
131,109,121.47337419365938,25.131102383723483,0,0.0,0.0
132,110,121.50144914380395,25.136874723412372,0,0.0,0.0
133,111,121.50644047249996,25.120829257405862,0,0.0,0.0
134,112,121.51453336026155,25.11600805963175,0,0.0,0.0
136,113,121.52652418722069,25.0923255738238,6,6.0,0.0
138,114,121.52282333960969,25.101658018480805,-7,0.0,7.0
139,115,121.52282333960969,25.101658018480805,0,0.0,0.0
140,116,121.51966296981631,25.06314800005348,0,0.0,0.0
141,117,121.53902769018488,2.5099203347434123,0,0.0,0.0
161,118,121.52226138942169,25.03903761580592,8,8.0,0.0
165,119,121.58701118847166,25.042124743659162,-45,0.0,45.0
173,120,121.58445220318916,25.078305990417146,-25,0.0,25.0
174,121,121.61851607965856,25.06101166357651,90,90.0,0.0
176,122,121.52954222511187,25.11857992003776,-4,0.0,4.0
177,123,121.56791712976386,25.039730235834465,10,10.0,0.0
181,124,121.55125709890123,25.062860549789324,0,0.0,0.0
182,125,121.55241618430105,25.063024073381705,27,27.0,0.0
183,126,121.55344832944854,25.063058599064412,111,111.0,0.0
184,127,121.51661900423008,25.09532998647677,-340,0.0,340.0
187,128,121.57229448751178,25.039581631247447,31,31.0,0.0
188,129,121.57831797557269,25.04849732515049,17,17.0,0.0
193,130,121.57819914618477,25.050516544525838,-67,0.0,67.0
194,131,121.56192890783916,25.04465893584923,114,114.0,0.0
195,132,121.49454507645174,25.03363964735622,-17,0.0,17.0
196,133,121.59235251245389,25.068279700828985,0,0.0,0.0
197,134,121.61216351295195,25.06979132732676,0,0.0,0.0
199,135,121.51662240116345,25.04785394089165,42,42.0,0.0
201,136,121.52244960729395,25.068984973817766,47,47.0,0.0
202,137,121.57326611897369,24.99859795378964,-13,0.0,13.0
203,138,121.5426851257576,25.02080010237205,117,117.0,0.0
204,139,121.57416785402886,25.06299771200161,293,293.0,0.0
205,140,121.5751005671378,25.063038159175893,0,0.0,0.0
206,141,121.53599698371124,25.063618981161827,-14,0.0,14.0
207,142,121.51859901474043,25.09605904279887,-3,0.0,3.0
210,143,121.51746348754342,25.046903786560105,0,0.0,0.0
212,144,121.55274500275576,25.014716929386825,29,29.0,0.0
213,145,121.55351696411631,25.01390992557123,-4,0.0,4.0
214,146,121.53081083919608,25.04529276113896,0,0.0,0.0
215,147,121.50342259405531,25.031073932544277,-8,0.0,8.0
217,148,121.5184136057206,25.03641642009732,145,145.0,0.0
219,149,121.52227761920805,25.054815940113322,79,79.0,0.0
220,150,121.59137840672187,25.04600427900924,0,0.0,0.0
222,151,121.61359382182735,25.04760774538837,0,0.0,0.0
223,152,121.53328651862527,25.120293281011513,-4,0.0,4.0
224,153,121.50463456687052,25.14075560388207,0,0.0,0.0
227,154,121.58243889322505,24.98613064413084,0,0.0,0.0
228,155,121.56629327767185,24.98840475481536,0,0.0,0.0
229,156,121.55204423867292,25.02146378650288,-9,0.0,9.0
232,157,121.53670144257721,25.046893129438228,56,56.0,0.0
233,158,121.5367543091125,25.049224978786878,92,92.0,0.0
234,159,121.53676525980684,25.049894009233107,196,196.0,0.0
235,160,121.53684921060879,25.05340002534984,46,46.0,0.0
236,161,121.53686241732092,25.054199863854,26,26.0,0.0
237,162,121.53696913352844,25.056568892263986,11,11.0,0.0
238,163,121.53693073471938,25.057189168370524,31,31.0,0.0
239,164,121.53697568073605,25.05930175151557,11,11.0,0.0
240,165,121.5369534287414,25.06075706396721,15,15.0,0.0
241,166,121.53704415384337,25.063370808129346,0,0.0,0.0
242,167,121.53701309148191,25.064441917933692,-7,0.0,7.0
243,168,121.53607740698713,25.065841847889985,-6,0.0,6.0
244,169,121.5377926731941,25.02789617866092,7,7.0,0.0
245,170,121.53782808747164,25.03281067117509,24,24.0,0.0
246,171,121.53786231413791,25.031642493488693,32,32.0,0.0
247,172,121.53780687341528,25.02915581680987,-20,0.0,20.0
249,173,121.51203169173384,25.074641870733274,-14,0.0,14.0
250,174,121.52972193049528,25.107353325125718,-3,0.0,3.0
251,175,121.52938388061001,25.1066579314536,3,3.0,0.0
255,176,121.51483696026028,25.09753965307975,51,51.0,0.0
256,177,121.51823411068472,25.115293152460666,-45,0.0,45.0
257,178,121.51862685668848,25.08718836149025,0,0.0,0.0
258,179,121.52203232456765,25.075169394264673,-1,0.0,1.0
259,180,121.52364806061159,25.06801628430152,14,14.0,0.0
260,181,121.55093108352257,25.051243931197554,258,258.0,0.0
261,182,121.51096346130163,25.087896385278984,0,0.0,0.0
264,183,121.55650767325865,25.033741666749936,-33,0.0,33.0
266,184,121.53135074861255,25.101975834839397,7,7.0,0.0
267,185,121.46571655561549,25.120332182575716,0,0.0,0.0
268,186,121.50451999534245,25.12530196142057,0,0.0,0.0
269,187,121.52077225770424,25.115545258518356,0,0.0,0.0
271,188,121.56088384493708,25.08647554522781,11,11.0,0.0
272,189,121.54188753457396,25.054071563029915,0,0.0,0.0
283,190,121.51014890748041,25.063085745497713,2,2.0,0.0
297,191,121.5748042000641,24.99950656438073,0,0.0,0.0
298,192,121.5428874405538,24.998393583812927,-8,0.0,8.0
299,193,121.53644438682105,25.11608667324249,0,0.0,0.0
300,194,121.56122353352563,25.050334374350534,1,1.0,0.0
301,195,121.60374313088894,25.05210694486867,0,0.0,0.0
308,196,121.50975300317877,25.078803974815216,0,0.0,0.0
309,197,121.5447361858844,25.002600067926608,-10,0.0,10.0
310,198,121.46768407597608,25.128117907411603,0,0.0,0.0
311,199,121.5312623705526,25.125405422125397,0,0.0,0.0
312,200,121.52618652288591,25.123817630394765,0,0.0,0.0
313,201,121.51053934577942,25.08969605088942,-8,0.0,8.0
314,202,121.50907513221901,25.088068991942137,1,1.0,0.0
317,203,121.4998462699022,25.034763788629533,13,13.0,0.0
318,204,121.49134962293108,25.035433572219855,-4,0.0,4.0
320,205,121.58900446903269,25.049449231459807,0,0.0,0.0
321,206,121.58900446903269,25.049449231459807,0,0.0,0.0
322,207,121.58900446903269,25.049449231459807,0,0.0,0.0
324,208,121.57321646362273,25.034379909155952,0,0.0,0.0
326,209,121.54712940892372,24.99966509182927,15,15.0,0.0
327,210,121.53541887387483,25.00419160955224,-4,0.0,4.0
328,211,121.56367338879086,25.025126533958268,-15,0.0,15.0
331,212,121.52891896467916,25.019425440518397,1,1.0,0.0
333,213,121.52084828447205,25.020990699085264,2,2.0,0.0
334,214,121.5590637017597,24.996932872282034,1,1.0,0.0
335,215,121.49354400050592,25.034161009061137,-3,0.0,3.0
336,216,121.57814987561079,25.04918429005624,0,0.0,0.0
338,217,121.47140146635523,25.12682442072627,60,60.0,0.0
339,218,121.53735122582943,25.06765106783825,-45,0.0,45.0
340,219,121.60652162656548,25.052425237176696,0,0.0,0.0
341,220,121.58684207789386,25.05925300112175,62,62.0,0.0
342,221,121.5299167010918,25.01377128219988,0,0.0,0.0
343,222,121.57614299682413,25.063963280997427,157,157.0,0.0
345,223,121.54115768929549,25.052971356504955,92,92.0,0.0
353,224,118.7545660707316,0.0,0,0.0,0.0
354,225,121.54494456079512,25.012202414457175,0,0.0,0.0
355,226,121.58670669512699,25.04647095331336,0,0.0,0.0
356,227,121.519290457097,25.029082628991194,0,0.0,0.0
357,228,121.50734910683776,25.03560461098127,0,0.0,0.0
358,229,121.54500498543484,25.037483368490143,0,0.0,0.0
359,230,121.50857916899824,25.051065451900712,0,0.0,0.0
360,231,121.53164893932372,25.105659456663794,0,0.0,0.0
361,232,121.61888554310137,25.05582707541028,226,226.0,0.0
364,233,121.51668998503185,25.03120327595833,6,6.0,0.0
